answer_format,extracted_none,format_ok,n,numeric,numeric_exact,reasoning_format,reward_recomputed,reward_total,robust_numeric_exact,role,rollouts_seen,trace_call_index
0.2,0.0,0.0,8,0.8875,0.875,0.20000000000000004,1.2875,1.2874999791383743,0.875,train,1215.9214907928108,1639
0.15000000000000002,0.25,0.0,8,0.55,0.5,0.12500000000000003,0.8250000000000001,0.824999988079071,0.5,train,1216.6633586944536,1640
0.2,0.0,0.0,8,0.56875,0.5,0.20000000000000004,0.9687500000000001,0.9687499850988388,0.5,train,1217.4052265960966,1641
0.2,0.0,0.0,8,0.775,0.75,0.20000000000000004,1.175,1.1749999821186066,0.75,train,1218.1470944977395,1642
0.2,0.0,0.0,8,0.1,0.0,0.20000000000000004,0.5,0.5,0.0,train,1218.8889623993825,1643
0.2,0.0,0.0,8,0.1,0.0,0.20000000000000004,0.5,0.5,0.0,train,1219.6308303010255,1644
0.2,0.0,0.0,8,0.325,0.25,0.20000000000000004,0.7250000000000001,0.7249999940395355,0.25,train,1220.3726982026685,1645
0.17500000000000002,0.125,0.0,8,1.0,0.875,0.13750000000000004,1.3125,1.3124999776482582,0.875,train,1221.1145661043113,1646
0.2,0.0,0.0,8,0.8875,0.875,0.20000000000000004,1.2875,1.2874999791383743,0.875,train,1221.8564340059545,1647
0.2,0.0,0.0,8,1.0,1.0,0.20000000000000004,1.4000000000000001,1.399999976158142,1.0,train,1222.5983019075973,1648
0.125,0.375,0.0,8,0.6625,0.375,0.06250000000000003,0.8500000000000001,0.8499999865889549,0.375,train,1223.3401698092403,1649
0.2,0.0,0.0,8,0.1,0.0,0.20000000000000004,0.5,0.5,0.0,train,1224.0820377108832,1650
0.2,0.0,0.0,8,1.0,1.0,0.20000000000000004,1.4000000000000001,1.399999976158142,1.0,train,1224.823905612526,1651
0.2,0.0,0.0,8,0.2125,0.125,0.20000000000000004,0.6125,0.6124999970197678,0.125,train,1225.5657735141692,1652
0.2,0.0,0.0,8,0.1,0.0,0.18750000000000003,0.4875,0.48750000074505806,0.0,train,1226.307641415812,1653
0.2,0.0,0.0,8,1.0,1.0,0.20000000000000004,1.4000000000000001,1.399999976158142,1.0,train,1227.0495093174552,1654
0.2,0.0,0.0,8,0.8875,0.875,0.18750000000000003,1.2750000000000001,1.274999976158142,0.875,train,1227.791377219098,1655
0.2,0.0,0.0,8,0.1,0.0,0.20000000000000004,0.5,0.5,0.0,train,1228.533245120741,1656
0.2,0.0,0.0,8,1.0,1.0,0.20000000000000004,1.4000000000000001,1.399999976158142,1.0,train,1229.275113022384,1657
0.2,0.0,0.0,8,1.0,1.0,0.20000000000000004,1.4000000000000001,1.399999976158142,1.0,train,1507.4755761384936,2032
0.2,0.0,0.0,8,0.1,0.0,0.20000000000000004,0.5,0.5,0.0,train,1508.2174440401368,2033
0.2,0.0,0.0,8,0.1,0.0,0.18750000000000003,0.4875,0.48750000074505806,0.0,train,1508.9593119417796,2034
0.2,0.0,0.0,8,0.8875,0.875,0.20000000000000004,1.2875,1.2874999791383743,0.875,train,1509.7011798434228,2035
0.2,0.0,0.0,8,0.8875,0.875,0.18750000000000003,1.2750000000000001,1.274999976158142,0.875,train,1510.4430477450655,2036
0.2,0.0,0.0,8,0.90625,0.875,0.20000000000000004,1.3062500000000001,1.306249976158142,0.875,train,1511.1849156467085,2037
0.2,0.0,0.0,8,0.55,0.5,0.20000000000000004,0.9500000000000001,0.949999988079071,0.5,train,1511.9267835483515,2038
0.125,0.375,0.0,8,0.1,0.0,0.08750000000000002,0.3125,0.3125,0.0,train,1512.6686514499945,2039
0.2,0.0,0.0,8,0.775,0.75,0.20000000000000004,1.175,1.1749999821186066,0.75,train,1513.4105193516375,2040
0.2,0.0,0.0,8,1.0,1.0,0.20000000000000004,1.4000000000000001,1.399999976158142,1.0,train,1514.1523872532805,2041
0.2,0.0,0.0,8,0.775,0.75,0.20000000000000004,1.175,1.1749999821186066,0.75,train,1514.8942551549233,2042
0.2,0.0,0.0,8,0.4375,0.375,0.20000000000000004,0.8375,0.8374999910593033,0.375,train,1515.6361230565662,2043
0.2,0.0,0.0,8,0.1,0.0,0.20000000000000004,0.5,0.5,0.0,train,1516.3779909582092,2044
0.2,0.0,0.0,8,1.0,1.0,0.20000000000000004,1.4000000000000001,1.399999976158142,1.0,train,1517.1198588598522,2045
0.08750000000000001,0.5,0.0,8,0.1,0.0,-0.02499999999999999,0.1625,0.16250000055879354,0.0,train,1517.8617267614952,2046
0.17500000000000002,0.125,0.0,8,0.1,0.0,0.16250000000000003,0.4375,0.4375,0.0,train,1518.6035946631382,2047
0.2,0.0,0.0,8,0.325,0.25,0.18750000000000003,0.7125,0.7124999947845936,0.25,train,1519.3454625647812,2048
