source,run,metric,tag,step,wall_time,value
tensorboard,baseline,mean_reward,rewards/train/score/mean,246,1780933962.7629862,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,247,1780933964.4298673,2.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,248,1780933964.8265052,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,249,1780933965.3087175,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,250,1780933965.724614,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,251,1780933967.393227,2.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,252,1780933968.093001,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,253,1780933968.632755,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,254,1780933969.1493533,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,255,1780933969.606325,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,256,1780934196.7727244,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,257,1780934197.1555834,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,258,1780934198.5599241,1.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,259,1780934199.19833,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,260,1780934199.581244,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,261,1780934200.141061,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,262,1780934201.8020425,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,263,1780934203.1258106,6.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,264,1780934203.5894814,2.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,265,1780934205.166019,5.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,266,1780934205.5090284,6.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,267,1780934206.0217838,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,268,1780934206.423585,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,269,1780934207.3101022,6.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,270,1780934207.7551394,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,271,1780934208.4413552,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,272,1780934208.8777254,1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,273,1780934209.435974,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,274,1780934209.725255,3.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,275,1780934210.3913581,1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,276,1780934210.9614937,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,277,1780934211.368624,6.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,278,1780934211.631989,2.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,279,1780934211.950442,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,280,1780934212.7290618,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,281,1780934213.111919,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,282,1780934213.4842587,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,283,1780934213.910051,5.125
tensorboard,baseline,mean_reward,rewards/train/score/mean,284,1780934214.4230645,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,285,1780934215.1230893,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,286,1780934215.938266,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,287,1780934216.4613047,2.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,288,1780934216.9790425,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,289,1780934217.3745131,8.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,290,1780934217.8819048,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,291,1780934218.3645267,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,292,1780934218.7086816,4.5
