run,metric,step,value
course-baseline-001,train score mean,639,5.875
course-baseline-001,train score mean,640,4.5
course-baseline-001,train score mean,641,5.75
course-baseline-001,train score mean,642,8.0
course-baseline-001,train score mean,643,4.5
course-baseline-001,train score mean,644,2.0
course-baseline-001,train score mean,645,2.75
course-baseline-001,train score mean,646,5.375
course-baseline-001,train score mean,647,1.5
course-baseline-001,train score mean,648,7.25
course-baseline-001,train score mean,649,7.25
course-baseline-001,train score mean,650,4.5
course-baseline-001,train score mean,651,7.5
course-baseline-001,train score mean,652,4.5
course-baseline-001,train score mean,653,10.0
course-baseline-001,train score mean,654,5.0
course-baseline-001,train score mean,655,4.5
course-baseline-001,train score mean,656,4.5
course-baseline-001,train score mean,657,2.0
course-baseline-001,train score mean,658,4.5
course-baseline-001,train score mean,659,3.0
course-baseline-001,train score mean,660,3.0
course-baseline-001,train score mean,661,3.0
course-baseline-001,train score mean,662,4.75
course-baseline-001,train score mean,663,7.25
course-baseline-001,train score mean,664,5.75
course-baseline-001,train score mean,665,4.75
course-baseline-001,train score mean,666,4.5
course-baseline-001,train score mean,667,4.5
course-baseline-001,train score mean,668,2.5
course-baseline-001,train score mean,669,7.25
course-baseline-001,train score mean,670,6.0
course-baseline-001,train score mean,671,4.5
course-baseline-001,train score mean,672,5.75
course-baseline-001,train score mean,673,4.5
course-baseline-001,train score mean,674,3.25
course-baseline-001,train score mean,675,6.0
course-baseline-001,train score mean,676,7.5
course-baseline-001,train score mean,677,7.25
course-baseline-001,train score mean,678,4.5
course-baseline-001,train score mean,679,3.0
course-baseline-001,train score mean,680,4.5
course-baseline-001,train score mean,681,4.5
course-baseline-001,train score mean,682,4.5
course-baseline-001,train score mean,683,1.0
course-baseline-001,train score mean,684,4.5
course-baseline-001,train score mean,685,7.5
course-baseline-001,train score mean,686,10.0
course-baseline-001,train score mean,687,4.75
course-baseline-001,train score mean,688,10.0
course-baseline-001,train score mean,689,4.5
course-baseline-001,train score mean,690,6.5
course-baseline-001,train score mean,691,7.25
course-baseline-001,train score mean,692,6.0
course-baseline-001,train score mean,693,4.5
course-baseline-001,train score mean,694,4.5
course-baseline-001,train score mean,695,10.0
course-baseline-001,train score mean,696,7.25
course-baseline-001,train score mean,697,4.5
course-baseline-001,train score mean,698,4.5
course-baseline-001,train score mean,699,3.0
course-baseline-001,train score mean,700,4.5
course-baseline-001,train score mean,701,3.5
course-baseline-001,train score mean,702,7.25
course-baseline-001,train score mean,703,10.0
course-baseline-001,train score mean,704,4.5
course-baseline-001,train score mean,705,3.25
course-baseline-001,train score mean,706,3.0
course-baseline-001,train score mean,707,4.5
course-baseline-001,train score mean,708,7.25
